census_tract,total
39,126
71,95
299,89
317,83
218,21
326,84
248,25
203,42
169,83
137,71
298,110
125,9
101,65
158,41
276,34
22,43
37,203
161,70
27,101
311,148
42,99
72,65
280,63
362,44
314,232
172,95
306,47
310,56
308,33
108,62
107,60
300,132
178,113
274,102
315,119
96,68
167,106
283,81
187,26
70,48
196,34
236,10
290,55
273,41
363,30
191,41
199,47
288,60
176,72
64,57
189,23
41,268
198,68
295,10
95,73
279,72
14,54
32,127
28,121
341,41
180,107
156,4
67,146
63,57
357,130
330,113
313,111
321,65
140,53
33,159
86,68
13,84
281,31
83,122
136,67
325,87
90,76
160,82
142,43
82,70
345,79
78,45
301,48
247,65
85,104
87,73
128,5
289,90
268,30
92,41
293,53
133,47
80,49
237,23
62,77
60,58
197,87
111,39
267,49
209,35
190,49
258,8
134,49
179,138
148,27
213,58
320,72
207,69
31,103
173,44
12,84
77,27
40,122
249,47
65,69
152,66
104,48
188,130
348,84
112,75
302,81
331,69
195,79
337,87
45,17
114,45
6,6
216,3
309,33
329,40
262,19
335,32
291,44
245,67
88,85
246,49
282,41
219,3
323,65
110,52
126,17
2,18
153,107
353,47
192,110
264,27
177,122
277,49
98,66
115,27
131,6
29,48
8,49
275,36
251,16
16,45
305,134
117,4
257,25
214,49
346,9
256,9
285,30
23,35
79,50
332,26
208,5
263,50
253,48
19,33
316,74
352,35
183,22
84,80
118,48
54,31
358,25
235,6
103,46
55,103
303,117
336,54
307,20
30,111
151,64
242,71
168,48
349,55
10,34
102,52
355,55
139,25
122,36
164,47
17,37
211,13
318,28
266,36
18,36
286,101
74,74
201,100
7,19
69,31
81,97
205,46
38,17
284,55
121,16
243,48
339,19
94,67
278,27
294,60
15,40
312,61
342,22
319,63
120,8
202,44
11,68
166,26
338,34
56,9
127,3
109,37
157,22
185,3
66,70
272,20
24,56
261,22
244,58
344,15
105,18
119,48
1,27
25,19
144,35
204,48
135,40
334,39
356,14
212,20
149,44
265,49
116,10
174,22
365,34
252,85
141,14
93,72
238,23
132,12
113,24
36,37
254,17
146,12
91,56
351,12
255,21
20,40
210,57
215,43
159,13
3,13
240,31
21,30
259,37
296,19
287,23
260,12
292,40
51,1
9,32
186,36
4,10
233,24
217,11
227,5
48,1
269,5
147,58
304,7
143,18
194,4
171,43
175,43
61,27
100,44
181,5
231,11
250,5
360,11
155,29
270,9
170,16
138,26
184,14
333,12
73,43
130,6
162,12
200,15
106,14
145,6
327,4
347,26
359,5
361,7
89,3
239,6
241,7
271,7
46,1
5,7
44,13
129,17
47,6
230,1
340,5
163,11
228,2
206,2
165,5
297,7
322,4
229,1
220,1
34,2
76,1
154,6
221,3
57,1
35,1
182,3
43,1
52,1
